"","Year","SSB","SSB.CV","Catch"
"1",1978,32294,0.249,19202.2327635416
"2",1979,38302,0.227,18718.948971591
"3",1980,41707,0.218,23740.09364709
"4",1981,39225,0.215,24146.3146319354
"5",1982,36412,0.205,33131.4439740779
"6",1983,31786,0.211,28179.8766325018
"7",1984,28618,0.209,22735.1925295866
"8",1985,24889,0.205,22270.8027651789
"9",1986,20304,0.215,16950.0441291052
"10",1987,21247,0.202,21042.8933163056
"11",1988,25854,0.198,26256.2714498278
"12",1989,26355,0.223,18825.8453859228
"13",1990,32637,0.204,26126.3960099394
"14",1991,27907,0.188,25275.3869601281
"15",1992,20745,0.18,20519.171
"16",1993,15236,0.168,16472.519
"17",1994,11029,0.215,9596.661
"18",1995,12663,0.266,3397.6449
"19",1996,17294,0.237,4581.9759
"20",1997,14110,0.218,6309.9482
"21",1998,12116,0.231,4965.1653
"22",1999,12712,0.231,5108.7931
"23",2000,12339,0.238,4157.7968
"24",2001,14098,0.224,6071.3983
"25",2002,15329,0.229,5512.7177
"26",2003,13120,0.225,5231.2231
"27",2004,11152,0.239,3101.8705
"28",2005,11496,0.237,2471.0825
"29",2006,12120,0.237,2809.8394
"30",2007,11566,0.234,3389.6699
"31",2008,10445,0.242,3071.846
"32",2009,9837,0.238,3251.4051
"33",2010,8040,0.231,2436.602
"34",2011,5759,0.228,2137.167
"35",2012,3643,0.243,1563.1785
"36",2013,4093,0.263,975.4938
"37",2014,4528,0.242,1309.7588
"38",2015,4365,0.242,1297.5505
"39",2016,6519,0.245,1085.1205
"40",2017,9598,0.26,692.7446
"41",2018,9065,0.266,745.091
"42",2019,5783,0.278,634.4919
"43",2020,3984,0.278,602.6907
"44",2021,3490,0.274,614.9421
"45",2022,3111,0.293,423.27900148992
"46",2023,2668,0.349,416.67982641796
