,Year,SSB,SSB.CV
1,1981,11859,0.142
2,1982,12309,0.158
3,1983,9383,0.114
4,1984,7939,0.107
5,1985,6384,0.117
6,1986,5821,0.138
7,1987,6191,0.151
8,1988,9064,0.168
9,1989,6602,0.094
10,1990,5951,0.083
11,1991,5195,0.107
12,1992,3820,0.103
13,1993,3183,0.133
14,1994,2381,0.137
15,1995,2464,0.16
16,1996,1767,0.154
17,1997,2010,0.177
18,1998,1313,0.156
19,1999,1409,0.159
20,2000,1791,0.183
21,2001,904,0.109
22,2002,817,0.122
23,2003,857,0.147
24,2004,538,0.142
25,2005,539,0.175
26,2006,339,0.123
27,2007,450,0.179
28,2008,621,0.261
29,2009,440,0.098
30,2010,494,0.117
31,2011,540,0.097
32,2012,469,0.119
33,2013,450,0.134
34,2014,602,0.175
35,2015,536,0.169
36,2016,674,0.155
37,2017,560,0.181
38,2018,320,0.169
39,2019,437,0.194
40,2020,285,0.241
41,2021,252,0.26
42,2022,217,0.272
43,2023,289,0.306
