Year,Removal,Source
1981,23.47408841,Com_Disc
1982,35.12575272,Com_Disc
1983,36.55250181,Com_Disc
1984,39.46356639,Com_Disc
1985,30.60711823,Com_Disc
1986,36.97348133,Com_Disc
1987,37.31335099,Com_Disc
1988,38.36770419,Com_Disc
1989,84.32486443,Com_Disc
1990,163.1520368,Com_Disc
1991,4.45628078,Com_Disc
1992,34.76519327,Com_Disc
1993,79.1741949,Com_Disc
1994,16.58382446,Com_Disc
1995,1.49407038,Com_Disc
1996,1.56855515,Com_Disc
1997,1.69588413,Com_Disc
1998,2.79989726,Com_Disc
1999,10.41858607,Com_Disc
2000,5.59158724,Com_Disc
2001,0.51468071,Com_Disc
2002,3.51917201,Com_Disc
2003,1.4224058,Com_Disc
2004,4.16809381,Com_Disc
2005,3.62596561,Com_Disc
2006,0.64022862,Com_Disc
2007,6.30214521,Com_Disc
2008,4.93133571,Com_Disc
2009,21.31719807,Com_Disc
2010,25.32952997,Com_Disc
2011,62.20312442,Com_Disc
2012,6.4184137,Com_Disc
2013,18.59722874,Com_Disc
2014,6.63313948,Com_Disc
2015,9.24944802,Com_Disc
2016,4.29152251,Com_Disc
2017,2.70211516,Com_Disc
2018,3.00764814,Com_Disc
2019,1.30767744,Com_Disc
2020,1.20527657,Com_Disc
2021,1.49527632,Com_Disc
2022,10.12918936,Com_Disc
2023,6.52867292,Com_Disc
1981,950.581,Com_Land
1982,928.475,Com_Land
1983,1788.716,Com_Land
1984,1986.28,Com_Land
1985,1285.324,Com_Land
1986,927.515,Com_Land
1987,1590.996,Com_Land
1988,1578.112,Com_Land
1989,2129.905,Com_Land
1990,2243.768,Com_Land
1991,1721.35,Com_Land
1992,1388.749,Com_Land
1993,893.655,Com_Land
1994,485.655,Com_Land
1995,464.3,Com_Land
1996,334.321,Com_Land
1997,240.91,Com_Land
1998,176.983,Com_Land
1999,157.721,Com_Land
2000,269.806,Com_Land
2001,297.5,Com_Land
2002,145.069,Com_Land
2003,226.894,Com_Land
2004,132.437,Com_Land
2005,163.805,Com_Land
2006,128.432,Com_Land
2007,169.08,Com_Land
2008,131.069,Com_Land
2009,185.73,Com_Land
2010,188.866,Com_Land
2011,194.252,Com_Land
2012,129.262,Com_Land
2013,148.927,Com_Land
2014,98.413,Com_Land
2015,66.569,Com_Land
2016,138.267,Com_Land
2017,79.914,Com_Land
2018,32.711,Com_Land
2019,12.569,Com_Land
2020,11.856,Com_Land
2021,8.906,Com_Land
2022,6.373,Com_Land
2023,9.006,Com_Land
1981,1523.159713,Rec_Land
1982,5929.629199,Rec_Land
1983,2344.092619,Rec_Land
1984,2490.021955,Rec_Land
1985,1285.260281,Rec_Land
1986,1518.593154,Rec_Land
1987,2510.653108,Rec_Land
1988,6791.181379,Rec_Land
1989,1751.813843,Rec_Land
1990,914.7751258,Rec_Land
1991,1581.231115,Rec_Land
1992,935.5782047,Rec_Land
1993,2217.287198,Rec_Land
1994,886.018344,Rec_Land
1995,1473.827593,Rec_Land
1996,396.4400956,Rec_Land
1997,2089.172137,Rec_Land
1998,494.6261111,Rec_Land
1999,207.795673,Rec_Land
2000,1604.34865,Rec_Land
2001,237.1004355,Rec_Land
2002,167.2191934,Rec_Land
2003,251.0494853,Rec_Land
2004,279.25666,Rec_Land
2005,453.3589561,Rec_Land
2006,37.16071829,Rec_Land
2007,23.24773702,Rec_Land
2008,217.7777843,Rec_Land
2009,139.3689888,Rec_Land
2010,207.5441891,Rec_Land
2011,172.026829,Rec_Land
2012,138.0266673,Rec_Land
2013,7.660188724,Rec_Land
2014,249.5426966,Rec_Land
2015,435.710775,Rec_Land
2016,926.960303,Rec_Land
2017,439.6562851,Rec_Land
2018,73.61220869,Rec_Land
2019,206.618002,Rec_Land
2020,179.5867802,Rec_Land
2021,188.1633324,Rec_Land
2022,96.3555864,Rec_Land
2023,222.8876251,Rec_Land
1981,2.837216836,Rec_Disc
1982,1.291163662,Rec_Disc
1983,3.648430421,Rec_Disc
1984,2.163495329,Rec_Disc
1985,1.947988275,Rec_Disc
1986,19.31422203,Rec_Disc
1987,5.425418889,Rec_Disc
1988,115.68417,Rec_Disc
1989,38.99538741,Rec_Disc
1990,26.31793232,Rec_Disc
1991,35.3747937,Rec_Disc
1992,43.03247013,Rec_Disc
1993,84.28399148,Rec_Disc
1994,42.63159089,Rec_Disc
1995,28.73914479,Rec_Disc
1996,11.52973505,Rec_Disc
1997,54.36666601,Rec_Disc
1998,43.88911317,Rec_Disc
1999,3.726084294,Rec_Disc
2000,44.55751964,Rec_Disc
2001,9.643140167,Rec_Disc
2002,2.437360576,Rec_Disc
2003,16.4312398,Rec_Disc
2004,32.26868055,Rec_Disc
2005,47.66545592,Rec_Disc
2006,3.87905153,Rec_Disc
2007,15.50764897,Rec_Disc
2008,2.453863489,Rec_Disc
2009,8.991943145,Rec_Disc
2010,62.6947944,Rec_Disc
2011,26.81300135,Rec_Disc
2012,0.973732794,Rec_Disc
2013,0.633943715,Rec_Disc
2014,7.296208025,Rec_Disc
2015,61.28159172,Rec_Disc
2016,100.833901,Rec_Disc
2017,12.51116978,Rec_Disc
2018,5.309414784,Rec_Disc
2019,36.20014195,Rec_Disc
2020,16.99378874,Rec_Disc
2021,29.28197847,Rec_Disc
2022,28.86882392,Rec_Disc
2023,38.89986152,Rec_Disc
