Year,recdisc,recland,comdisc,comland,total
1981,26.8,4338.5,1777.7,28151.8,34294.8
1982,4.7,1970.4,1903.0,34416.7,38294.7
1983,15.0,2570.0,1836.5,30537.9,34959.4
1984,22.4,2403.9,1668.7,22633.1,26728.1
1985,11.1,3929.8,1688.0,21981.5,27610.3
1986,6.7,3386.3,1534.0,15842.5,20769.5
1987,49.9,3891.5,1396.3,14146.2,19483.9
1988,14.0,2854.8,1202.6,18129.0,22200.4
1989,54.9,1288.4,1288.4,20906.3,23538.0
1990,74.5,3350.1,1813.1,27168.6,32406.3
1991,42.8,2397.9,1242.3,26202.0,29884.9
1992,42.0,1069.5,889.7,16711.8,18713.0
1993,115.8,2376.1,658.1,13554.8,16704.8
1994,111.5,1329.9,370.0,12473.7,14285.1
1995,137.3,1547.0,312.4,10428.7,12425.4
1996,61.7,864.2,220.5,10975.6,12122.0
1997,61.9,393.8,195.6,9675.1,10326.4
1998,84.3,688.8,162.1,8169.6,9104.8
1999,93.4,1203.8,1067.4,6592.4,8957.0
2000,166.0,1832.3,1225.4,8526.3,11750.1
2001,201.1,3172.0,1592.9,11168.0,16134.0
2002,225.4,1976.2,1595.2,8774.4,12571.2
2003,183.3,2016.9,919.7,6864.1,9983.9
2004,190.2,2430.0,586.3,5285.3,8491.7
2005,255.6,3069.0,434.5,4720.1,8479.2
2006,128.4,772.3,492.0,4340.8,5733.4
2007,264.5,1583.1,543.9,5803.7,8195.1
2008,274.7,2287.8,710.5,7078.1,10351.2
2009,325.1,2496.9,958.1,6928.4,10708.5
2010,468.9,3206.9,254.5,6381.3,10311.6
2011,339.9,3060.7,168.1,6426.2,9994.9
2012,115.6,1279.6,148.2,3595.0,5138.4
2013,222.0,1568.0,75.3,1599.0,3464.3
2014,170.0,816.6,36.3,1400.7,2423.6
2015,192.1,11.3,23.8,675.4,902.6
2016,375.7,192.0,22.9,661.5,1252.0
2017,690.0,176.5,26.1,568.3,1461.0
2018,390.2,10.3,30.1,720.0,1150.6
2019,121.6,39.9,14.2,766.9,942.6
2020,163.5,11.6,34.9,514.5,724.6
2021,139.2,166.6,56.1,425.0,786.8
2022,146.8,65.8,27.1,401.0,640.7
2023,144.1,79.5,28.7,410.0,662.3
