Year,SSB,SSBCV,F,FCV,Recruits,RecruitsCV,SSB_old,F_old,Recruits_old
1981,18961,0.19,0.65,0.17,41645,0.24,NA,NA,NA
1982,23712,0.17,0.73,0.16,24769,0.22,NA,NA,NA
1983,22590,0.18,0.78,0.16,25894,0.22,NA,NA,NA
1984,17928,0.17,0.71,0.15,10678,0.22,NA,NA,NA
1985,12351,0.18,0.99,0.14,4981,0.23,NA,NA,NA
1986,10691,0.18,0.8,0.15,10264,0.22,NA,NA,NA
1987,11534,0.18,0.66,0.16,11073,0.22,NA,NA,NA
1988,12985,0.18,0.62,0.16,20408,0.22,NA,NA,NA
1989,17846,0.17,0.81,0.16,23106,0.22,NA,NA,NA
1990,18152,0.16,1.08,0.14,8243,0.24,NA,NA,NA
1991,14247,0.17,1.21,0.14,10024,0.21,NA,NA,NA
1992,12175,0.17,1.14,0.15,8363,0.22,NA,NA,NA
1993,11535,0.18,1.11,0.16,9165,0.22,NA,NA,NA
1994,12645,0.19,0.98,0.17,9288,0.22,NA,NA,NA
1995,13800,0.19,0.76,0.17,4601,0.24,NA,NA,NA
1996,12581,0.18,0.78,0.17,4253,0.23,NA,NA,NA
1997,9181,0.18,0.91,0.16,7479,0.22,NA,NA,NA
1998,9469,0.18,0.82,0.17,4972,0.23,NA,NA,NA
1999,14934,0.17,0.51,0.17,13618,0.22,NA,NA,NA
2000,21301,0.17,0.42,0.16,17637,0.22,NA,NA,NA
2001,31719,0.17,0.41,0.16,4054,0.25,NA,NA,NA
2002,36220,0.17,0.29,0.17,16566,0.2,NA,NA,NA
2003,27440,0.17,0.3,0.16,8545,0.22,NA,NA,NA
2004,21112,0.16,0.32,0.16,20269,0.19,NA,NA,NA
2005,18626,0.16,0.38,0.15,6762,0.19,NA,NA,NA
2006,19535,0.17,0.24,0.17,14860,0.2,NA,NA,NA
2007,29131,0.17,0.24,0.17,11741,0.21,NA,NA,NA
2008,28391,0.18,0.32,0.18,12940,0.22,NA,NA,NA
2009,22933,0.19,0.42,0.18,9503,0.23,NA,NA,NA
2010,16064,0.18,0.51,0.17,4224,0.23,NA,NA,NA
2011,10288,0.19,0.76,0.17,1748,0.23,NA,NA,NA
2012,4915,0.2,0.84,0.18,1894,0.22,NA,NA,NA
2013,2870,0.2,0.86,0.17,762,0.23,NA,NA,NA
2014,2390,0.2,0.75,0.18,1747,0.21,NA,NA,NA
2015,3003,0.18,0.23,0.19,1058,0.23,NA,NA,NA
2016,3559,0.17,0.26,0.17,451,0.23,NA,NA,NA
2017,3570,0.17,0.28,0.17,375,0.23,NA,NA,NA
2018,2896,0.17,0.29,0.17,1094,0.2,NA,NA,NA
2019,1993,0.19,0.38,0.18,487,0.24,NA,NA,NA
2020,1432,0.2,0.41,0.2,1418,0.27,NA,NA,NA
2021,1440,0.21,0.41,0.2,1916,0.22,NA,NA,NA
2022,1491,0.21,0.32,0.21,1798,0.26,NA,NA,NA
2023,1847,0.27,0.31,0.27,887,0.34,NA,NA,NA
