year,stock,catch,biomass,c_units,b,b_units,other_b_available
1959,3Ps,60170,233700,t,ssb,t,naa*waa
1960,3Ps,77285,222500,t,ssb,t,naa*waa
1961,3Ps,86824,222600,t,ssb,t,naa*waa
1962,3Ps,55239,212000,t,ssb,t,naa*waa
1963,3Ps,51821,194000,t,ssb,t,naa*waa
1964,3Ps,56567,176900,t,ssb,t,naa*waa
1965,3Ps,51853,170200,t,ssb,t,naa*waa
1966,3Ps,66207,160900,t,ssb,t,naa*waa
1967,3Ps,62774,149200,t,ssb,t,naa*waa
1968,3Ps,77556,159900,t,ssb,t,naa*waa
1969,3Ps,63799,146100,t,ssb,t,naa*waa
1970,3Ps,76858,131900,t,ssb,t,naa*waa
1971,3Ps,62448,124600,t,ssb,t,naa*waa
1972,3Ps,44213,111600,t,ssb,t,naa*waa
1973,3Ps,52641,90700,t,ssb,t,naa*waa
1974,3Ps,46712,83900,t,ssb,t,naa*waa
1975,3Ps,35373,92000,t,ssb,t,naa*waa
1976,3Ps,37133,84700,t,ssb,t,naa*waa
1977,3Ps,32245,80000,t,ssb,t,naa*waa
1978,3Ps,27221,70800,t,ssb,t,naa*waa
1979,3Ps,33006,79700,t,ssb,t,naa*waa
1980,3Ps,37568,98800,t,ssb,t,naa*waa
1981,3Ps,38892,112200,t,ssb,t,naa*waa
1982,3Ps,33902,124900,t,ssb,t,naa*waa
1983,3Ps,38451,111700,t,ssb,t,naa*waa
1984,3Ps,36950,121600,t,ssb,t,naa*waa
1985,3Ps,51367,129700,t,ssb,t,naa*waa
1986,3Ps,57990,124100,t,ssb,t,naa*waa
1987,3Ps,59204,114600,t,ssb,t,naa*waa
1988,3Ps,43382,101700,t,ssb,t,naa*waa
1989,3Ps,39540,92000,t,ssb,t,naa*waa
1990,3Ps,41405,73000,t,ssb,t,naa*waa
1991,3Ps,43589,63800,t,ssb,t,naa*waa
1992,3Ps,35895,51000,t,ssb,t,naa*waa
1993,3Ps,15216,37700,t,ssb,t,naa*waa
1994,3Ps,661,42300,t,ssb,t,naa*waa
1995,3Ps,821,75100,t,ssb,t,naa*waa
1996,3Ps,1057,70600,t,ssb,t,naa*waa
1997,3Ps,9420,75900,t,ssb,t,naa*waa
1998,3Ps,20156,86400,t,ssb,t,naa*waa
1999,3Ps,27997,79800,t,ssb,t,naa*waa
2000,3Ps,25100,65200,t,ssb,t,naa*waa
2001,3Ps,16546,50900,t,ssb,t,naa*waa
2002,3Ps,15319,50200,t,ssb,t,naa*waa
2003,3Ps,15260,52100,t,ssb,t,naa*waa
2004,3Ps,14414,53400,t,ssb,t,naa*waa
2005,3Ps,14776,52000,t,ssb,t,naa*waa
2006,3Ps,13157,50900,t,ssb,t,naa*waa
2007,3Ps,12959,45100,t,ssb,t,naa*waa
2008,3Ps,11773,36700,t,ssb,t,naa*waa
2009,3Ps,9762,31600,t,ssb,t,naa*waa
2010,3Ps,8299,27400,t,ssb,t,naa*waa
2011,3Ps,6876,27000,t,ssb,t,naa*waa
2012,3Ps,5087,27100,t,ssb,t,naa*waa
2013,3Ps,4366,25300,t,ssb,t,naa*waa
2014,3Ps,6887,27800,t,ssb,t,naa*waa
2015,3Ps,6460,27100,t,ssb,t,naa*waa
2016,3Ps,7246,28300,t,ssb,t,naa*waa
2017,3Ps,6641,30600,t,ssb,t,naa*waa
2018,3Ps,4737,31600,t,ssb,t,naa*waa
2019,3Ps,3528,30100,t,ssb,t,naa*waa
2020,3Ps,2228,32600,t,ssb,t,naa*waa
2021,3Ps,1346,31700,t,ssb,t,naa*waa
1973,3Pn4RS,65805,271848,t,2+,t,ssb
1974,3Pn4RS,66436,283961,t,2+,t,ssb
1975,3Pn4RS,60233,291657,t,2+,t,ssb
1976,3Pn4RS,76981,327365,t,2+,t,ssb
1977,3Pn4RS,73566,345166,t,2+,t,ssb
1978,3Pn4RS,78506,365968,t,2+,t,ssb
1979,3Pn4RS,82777,399809,t,2+,t,ssb
1980,3Pn4RS,97579,408936,t,2+,t,ssb
1981,3Pn4RS,97911,420798,t,2+,t,ssb
1982,3Pn4RS,104939,415935,t,2+,t,ssb
1983,3Pn4RS,106080,415784,t,2+,t,ssb
1984,3Pn4RS,103643,381493,t,2+,t,ssb
1985,3Pn4RS,88481,363241,t,2+,t,ssb
1986,3Pn4RS,83399,342104,t,2+,t,ssb
1987,3Pn4RS,66545,324868,t,2+,t,ssb
1988,3Pn4RS,47702,305036,t,2+,t,ssb
1989,3Pn4RS,46762,272304,t,2+,t,ssb
1990,3Pn4RS,39000,228054,t,2+,t,ssb
1991,3Pn4RS,34481,168991,t,2+,t,ssb
1992,3Pn4RS,29546,114530,t,2+,t,ssb
1993,3Pn4RS,18452,68272,t,2+,t,ssb
1994,3Pn4RS,537,46584,t,2+,t,ssb
1995,3Pn4RS,185,53828,t,2+,t,ssb
1996,3Pn4RS,317,60580,t,2+,t,ssb
1997,3Pn4RS,4792,72812,t,2+,t,ssb
1998,3Pn4RS,3229,83317,t,2+,t,ssb
1999,3Pn4RS,6890,99841,t,2+,t,ssb
2000,3Pn4RS,6857,99492,t,2+,t,ssb
2001,3Pn4RS,6950,97111,t,2+,t,ssb
2002,3Pn4RS,6529,78479,t,2+,t,ssb
2003,3Pn4RS,389,78569,t,2+,t,ssb
2004,3Pn4RS,3274,84820,t,2+,t,ssb
2005,3Pn4RS,4461,89912,t,2+,t,ssb
2006,3Pn4RS,5652,96722,t,2+,t,ssb
2007,3Pn4RS,6483,102869,t,2+,t,ssb
2008,3Pn4RS,6158,101964,t,2+,t,ssb
2009,3Pn4RS,4700,95011,t,2+,t,ssb
