"","stock","psi","lower","higher","lm_AIC","seg_AIC","slope1","slope2","slope3","p1","p2","p3","As","delta_0","recovery"
"12","2j3kl-SPM",1413803.06147834,0.000000120610214822301,-0.0000000405324635867448,-2182.56351649049,-2976.91701083195,0.0598045287612957,-0.0245580004621696,-0.0214756681702974,0.00000000000822770291095417,0,0.000000000000000000000000000000000000000000000000000870544549260048,0.88887919134492,0.0265728662774966,0
"14","3Ps",131900.025590658,0.00000142654414143447,-0.00000160379863898586,-49.8888656546282,-51.456262320563,0.048093826695588,-0.0514133328656783,0.0161815800337742,0.04041908016186,0.0949207438782332,0.423201281254574,0.554122422468268,0.251068662488504,0
"15","4tvn",209395.562359077,0.00000147936894741906,-0.000000147480088515279,-91.0046880702101,-110.240918536487,0.0958639944402721,-0.0165945245064006,0.0663578091923124,0.00016803766026605,0.234061465143037,0.0000300569115363105,1.66851305256135,-0.122678347085067,0
"16","4tvn-SPM",179375.196396942,0.00000157465600187499,-0.000000321225587233293,-92.0998457150787,-107.925774718551,0.072026489963073,-0.0496999365427469,0.0063861062134622,0.0546622914796227,0.00000609565142659189,0.671354664378026,1.21659780800532,-0.0550877720060696,0
"17","4vsw",218513.620470704,0.00000112053829576363,-0.00000113099929960522,-27.6941766605366,-28.0492823523201,0.0793181889730518,-0.0404918141803027,0.0566413116907957,0.0510228223819906,0.129562222663726,0.0284664170832655,0.915242804744289,0.0409904603981727,0
"110","COD1IN",17817.3526846962,0.0000194900208877907,-0.00000443810847532146,3.57671090541286,2.07768607917566,0.0955557291574746,-0.0985817191652867,-0.0478407185568251,0.264061429874588,0.0145862949643246,0.210848666842082,0.528412403543486,0.285631618672204,1
"118","CODIIIaW-IV-VIId",405386.785374045,0.000000844082970454875,-0.000000763601030324045,-2.96281422980361,-3.40960674372781,0.0859516037808007,-0.0549537861090332,0.0623292224792694,0.0249436872556644,0.290141390049263,0.0436193106786759,0.569997452628333,0.414451779181107,0
"11","2j3kl",21999.9700136956,-0.0000187269480519481,0.000000151761261788297,47.6867330189496,50.3211875734671,-0.0948749895339613,0.0646636415376108,0.0523069005491446,0.170959078819207,0.131571246520926,0.198535819819904,NA,0.260359082047937,0
"13","3Pn4RS",115751.884594766,-0.00000402380498628485,0.00000114967810955354,-60.0507156966666,-72.0527096598958,-0.0660886349560123,0.0954283575508041,0.0716166742480225,0.00484430048370166,0.000703265658998759,0.000268685484180384,NA,0.0279332996568675,0
"18","4X5Y",18977.4191237457,-0.000015757775034602,0.00000317236712400043,-12.0260944988782,-15.7584172201788,-0.022822177943512,0.0943380345681927,0.0501379775793175,0.927181889221798,0.00208292797179808,0.142054494935286,NA,0.031732459659926,0
"111","COD3M",7250.10620682527,0.000119639930835428,-0.000000954841790261681,19.3132504754664,19.5393820225029,0.197930023732027,-0.0233907302224786,0.0425401694838232,0.0407399130764184,0.836745398413323,0.561532072188277,NA,0.296746801309849,1
