"","stock","depensatory_lm","depensatory_seg","psi","lower","higher","lm_AIC","seg_AIC","slope1","slope2","slope3","p1","p2","p3","As","delta_0","max_biomass","lrp","min_biomass","depletion"
"1","2j3kl",TRUE,FALSE,21.9999700136957,-0.0187269480519481,0.000151761261788297,47.6867330189496,50.321187573467,-0.0948749895339613,0.0646636415376108,0.0523069005491447,0.170959078819207,0.131571246520926,0.198535819819904,-1.35354842823573,0.260359082047937,1508,603.2,10,0.01657824933687
"2","2j3kl-SPM",FALSE,TRUE,1413.80305928166,0.000120610214822301,-0.0000405324635867448,-2182.56351649049,-2976.91701083195,0.0598045287612957,-0.0245580004621696,-0.0214756681702974,0.00000000000822770291095417,0,0.000000000000000000000000000000000000000000000000000870544549260048,0.88887919134492,0.0265728662774966,5986.72384,2394.689536,94.71080748,0.0395503492441034
"3","3M",FALSE,TRUE,4.4788837639267,0.0922399028669728,-0.00271021986548799,23.1078636003045,26.197824882772,0.0446836690500947,-0.107900213191296,-0.088629790388568,0.646789185074734,0.086281726173472,0.106004066639836,0.666454210783481,0.106582878068261,142.141,56.8564,2.236,0.0393271469878501
"4","3NO",TRUE,TRUE,285.71,0.00104690066993831,-0.0011625791498283,-25.3729481699747,-22.4575624054419,0.084314882391024,-0.0542539515540812,0.0922097195354627,0.00189543192146258,0.572187209083059,0.000399539976779848,0.821464553445485,0.143144005365912,395.437,158.1748,7.559,0.0477889018984061
"5","3Pn4RS",TRUE,FALSE,115.751884365844,-0.00402380498628485,0.00114967810955354,-60.0507156966666,-72.0527096598958,-0.0660886349560123,0.095428357550804,0.0716166742480225,0.00484430048370167,0.000703265658998759,0.000268685484180383,2.45464985999089,0.0279332996568675,420.798,168.3192,46.584,0.276759870531704
"6","3Ps",TRUE,TRUE,131.900026460625,0.00142654414143447,-0.00160379863898586,-49.8888656546282,-51.4562623146399,0.048093826695588,-0.0514133328656783,0.0161815800337742,0.04041908016186,0.0949207438782331,0.423201281254574,0.554122422468268,0.251068662488504,233.7,93.48,25.3,0.270646127513907
"7","4tvn",TRUE,TRUE,209.395562357945,0.00147936894741906,-0.000147480088515279,-91.0046880702101,-110.240918536487,0.095863994440272,-0.0165945245064006,0.0663578091923124,0.000168037660266051,0.234061465143038,0.0000300569115363103,1.66851305256135,-0.122678347085067,574.5913,229.83652,21.186566,0.0921810250172601
"8","4tvn-SPM",TRUE,TRUE,179.375196396944,0.00157465600187499,-0.000321225587233293,-92.0998457150787,-107.925774718551,0.072026489963073,-0.0496999365427469,0.00638610621346219,0.0546622914796227,0.00000609565142659189,0.671354664378026,1.21659780800532,-0.0550877720060695,664.4218808,265.76875232,16.41176871,0.0617520628995516
"9","4vsw",TRUE,TRUE,218.513620470704,0.00112053829576363,-0.00113099929960522,-27.6941766605366,-28.0492823523201,0.0793181889730518,-0.0404918141803027,0.0566413116907957,0.0510228223819906,0.129562222663726,0.0284664170832656,0.915242804744289,0.0409904603981726,343.3783784,137.35135136,21.51033386,0.156608097750863
"10","4X5Y",TRUE,FALSE,18.9774191237458,-0.015757775034602,0.00317236712400043,-12.0260944988782,-15.7584172201789,-0.022822177943512,0.0943380345681927,0.0501379775793174,0.927181889221798,0.00208292797179808,0.142054494935286,4.12303122426114,0.0317324596599259,120.363,48.1452,12.157,0.252506999659364
"11","COD1F-XIV",FALSE,FALSE,136.040848640895,-0.0022743319399266,-0.00201334835043184,14.9455357390321,18.2270828107263,-0.105344167104732,-0.0426597623360445,-0.0957411986355641,0.0263712187558745,0.599882941298234,0.0249855607753266,0.254350199666171,0.336649246385567,201.65,80.66,3.349,0.0415199603272998
"12","COD1IN",FALSE,TRUE,17.8173526846964,0.0194900208877906,-0.00443810847532146,3.57671090541286,2.07768607917566,0.0955557291574745,-0.0985817191652867,-0.047840718556825,0.264061429874588,0.0145862949643246,0.210848666842083,0.528412403543486,0.285631618672204,97.125,38.85,2.917,0.0750836550836551
"13","COD5Zjm",TRUE,FALSE,9.71297650313506,-0.0516790898518966,0.00393710149808779,6.20222834257027,5.21319144515398,-0.0762447658359394,0.0637832559479643,0.00686306616119213,0.447002097749225,0.128425964654921,0.864188424276318,5.58894186961041,0.309086003413327,59.691,23.8764,3.045,0.127531788711866
"14","CODBA2224",FALSE,FALSE,22.3944783000766,-0.0339106321977252,0.00333455146427107,-2.86604109927483,-1.49211460570932,-0.0800834986942681,0.0352131810546946,-0.00697826773139069,0.328185120426728,0.393157302363171,0.857660676134722,-0.52959988104903,0.867578474757484,59.418,23.7672,13.619,0.573016594298024
"15","CODBA2532",FALSE,FALSE,181.000134464498,-0.00351750374704333,-0.00013935495243617,-47.5172823845811,-51.0818182291717,-0.0683304086445492,-0.0355553856130947,-0.0704722771096304,0.1291842302566,0.111286997246197,0.00136733720819552,-0.470054711876227,0.689794668992558,991,396.4,104,0.262361251261352
"16","CODFAPL",FALSE,TRUE,71.627868538878,0.000149472689136607,-0.00382857450849462,-9.81305394286706,-8.8720474476813,0.00255659674486778,-0.0960366962647235,-0.055004918650791,0.951148239681369,0.0130466784455013,0.0503149403422656,0.463497141589219,0.327632291335041,151.947,60.7788,14.291,0.235131328686976
"17","CODICE",FALSE,FALSE,616.16419468587,-0.00217608244765399,-0.000139720221314809,-81.9121025295937,-80.7486048387786,-0.042402908281976,-0.0548676019136719,-0.0654071855211617,0.575296212042094,0.00100450084359606,0.0000741148727342516,-0.352203242708814,0.509463070891034,2350,940,551,0.586170212765957
"18","CODIIIaW-IV-VIId",TRUE,TRUE,405.386783942993,0.000844082970454875,-0.000763601030324046,-2.96281422980361,-3.40960674372781,0.0859516037808006,-0.0549537861090332,0.0623292224792694,0.0249436872556644,0.290141390049263,0.0436193106786761,0.569997452628333,0.414451779181107,644.454,257.7816,63.663,0.24696487258982
"19","CODIS",FALSE,FALSE,3.23000544476462,-0.280982012930831,0.0011451348384913,-48.583196575676,-50.0140852421651,-0.112315508538919,0.0151466185585789,-0.000109663582876461,0.362401385737131,0.447905408214302,0.995737998290433,-1.08485309543197,0.525864437770173,43.6,17.44,2.21,0.126720183486239
"20","CODNEAR",FALSE,TRUE,956.622014233114,0.000570329068526547,-0.000093384298769571,-75.3144533097569,-71.9538284638429,0.0352389584296995,-0.0936932061262402,-0.103422647504736,0.399468872945559,0.000000951221806822136,0.0000000278105345882935,-0.069590393676297,0.506875347606467,4358.56,1743.424,706.868,0.405448129657502
"21","CODVIa",FALSE,FALSE,5.32002542595391,-0.315691082516502,0.00559715459545137,20.1219001141229,10.8915926969829,-0.18167839123401,0.0826718128553054,-0.0474611015111589,0.0793232625352555,0.0886441613448965,0.360530425635052,-4.63273753098546,0.748645851987482,58.7,23.48,3.22,0.137137989778535
"22","CODVIIek",FALSE,FALSE,18.8148576542887,-0.027303938557777,-0.00938758348107078,8.79950341420312,11.1952932985844,-0.124800156906381,-0.0581587545180499,-0.166999213134058,0.090305069206242,0.243340669069971,0.000360772318756547,-0.759708398965653,0.727814968358461,41.445,16.578,3.639,0.219507781397032
"23","EGOM",TRUE,FALSE,0.0334055953926694,-46.7206479961039,0.0379380184443101,39.3057376381992,37.7425178930401,-0.324812123968353,0.0459171531247552,0.0226559174835598,0.0999045464271409,0.443906773273585,0.695990164238387,-1.05775438535606,1.2194280517052,3.415,1.366,0.02,0.0146412884333821
"24","GB",TRUE,TRUE,25.8540454168965,0.0337787404736745,-0.0179156421003589,21.9325258114255,16.9942145909394,0.204753822603109,-0.0930861080403832,0.189387068879577,0.000368725189276847,0.0281920018799201,0.000112126569709061,0.921910619490681,0.0964542829208858,41.707,16.6828,3.111,0.186479487855756
"25","SNE",FALSE,FALSE,0.856968001846371,-0.113995455993803,-0.0187599719924585,14.3024073178153,16.4748375039039,-0.0168709220929662,-0.0660561793984247,-0.119203350742253,0.82680813590658,0.160106917594615,0.00806311377373307,-0.312282613898297,0.797066287401958,12.309,4.9236,0.217,0.0440734421967666
"26","WGOM",FALSE,TRUE,11.5340078285342,0.106499044241092,-0.05984263043587,86.1237220581962,68.3105182546522,0.39953989285869,-0.399616115483982,-0.0413504320008563,0.00426473052251549,0.0010960748619589,0.682977523220464,0.79565095770302,0.428975123694967,36.22,14.488,1.432,0.0988404196576477
